,0
tba_rpEarned_CCWM,0.11308562
tba_rpEarned_OPR,0.06785137
teleopDefensesBreached_CCWM,0.0549273
tba_rpEarned_DPR,0.053311795
teleopTowerCaptured_DPR,0.01453958
foulCount_CCWM,0.01453958
foulPoints_CCWM,0.012924071
teleopScalePoints_DPR,0.011308562
teleopBouldersLow_OAVE,0.011308562
foulPoints_OPR,0.009693054
tba_rpEarned_CPR,0.009693054
towerFaceA_Scaled_OPR,0.009693054
autoPoints_DPR,0.009693054
towerFaceA_Challenged_OPR,0.009693054
position2_C_Drawbridge_OPR,0.009693054
DPR,0.009693054
position2_B_Moat_CCWM,0.008077544
Scale/Challenge_a,0.008077544
position3_B_Ramparts_CPR,0.008077544
towerFaceB_Scaled_OPR,0.008077544
position4_C_Drawbridge_CPR,0.008077544
autoReachPoints_OAVE,0.008077544
position1crossings_CPR,0.008077544
towerFaceB_Challenged_DPR,0.008077544
teleopScalePoints_CCWM,0.008077544
position3_B_Ramparts_CCWM,0.008077544
teleopTowerCaptured_CCWM,0.008077544
position2_B_Moat_DPR,0.008077544
position2_B_Ramparts_CCWM,0.008077544
autoReachPoints_OPR,0.008077544
towerFaceC_None_OPR,0.0064620357
teleopCrossingPoints_CCWM,0.0064620357
towerEndStrength_CPR,0.0064620357
OPR,0.0064620357
position4crossings_DAVE,0.0064620357
Auto_Crossed_a,0.0064620357
teleopDefensesBreached_CPR,0.0064620357
CPR,0.0064620357
position2_B_Ramparts_DPR,0.0064620357
DAVE,0.0064620357
autoReachPoints_CPR,0.0064620357
autoBoulderPoints_OPR,0.0064620357
position5_C_SallyPort_CCWM,0.0064620357
Auto_Reached_a,0.0064620357
position2_C_SallyPort_OPR,0.004846527
position4_A_ChevalDeFrise_DPR,0.004846527
teleopBouldersHigh_OAVE,0.004846527
teleopDefensesBreached_DPR,0.004846527
teleopBouldersLow_DAVE,0.004846527
autoCrossingPoints_OPR,0.004846527
towerFaceC_None_DAVE,0.004846527
position4_D_RockWall_DPR,0.004846527
towerFaceC_None_DPR,0.004846527
position5_C_SallyPort_OPR,0.004846527
teleopBouldersHigh_CCWM,0.004846527
teleopBoulderPoints_CCWM,0.004846527
position4_C_Drawbridge_DAVE,0.004846527
position2_A_Portcullis_CCWM,0.004846527
position2_B_Moat_OPR,0.004846527
position2_D_RoughTerrain_CPR,0.004846527
teleopTowerCaptured_OPR,0.004846527
position3_A_Portcullis_CPR,0.004846527
towerFaceB_None_DPR,0.004846527
towerFaceC_None_CCWM,0.004846527
Auto_a,0.004846527
position5_D_RoughTerrain_CCWM,0.0032310179
position5_D_RoughTerrain_OAVE,0.0032310179
position4crossings_CCWM,0.0032310179
position5_A_Portcullis_CPR,0.0032310179
autoBouldersLow_CPR,0.0032310179
teleopBoulderPoints_DPR,0.0032310179
teleopBoulderPoints_OPR,0.0032310179
position2_A_Portcullis_DPR,0.0032310179
Goals_a,0.0032310179
autoBouldersLow_DPR,0.0032310179
position2_C_Drawbridge_DAVE,0.0032310179
towerFaceA_Scaled_CCWM,0.0032310179
position5_B_Ramparts_DPR,0.0032310179
position4_A_Portcullis_DAVE,0.0032310179
towerFaceB_Challenged_DAVE,0.0032310179
teleopBouldersLow_DPR,0.0032310179
position4_C_SallyPort_OAVE,0.0032310179
position3_A_Portcullis_OAVE,0.0032310179
position2crossings_DPR,0.0032310179
position3_D_RoughTerrain_CPR,0.0032310179
position3_C_SallyPort_CPR,0.0032310179
position2crossings_OPR,0.0032310179
position5_B_Moat_CCWM,0.0032310179
towerFaceB_Scaled_CCWM,0.0032310179
towerFaceA_None_DPR,0.0032310179
position5_C_Drawbridge_CCWM,0.0032310179
foulCount_DPR,0.0032310179
autoBoulderPoints_CPR,0.0032310179
techFoulCount_CCWM,0.0032310179
position4_A_ChevalDeFrise_CCWM,0.0032310179
teleopChallengePoints_OPR,0.0032310179
towerEndStrength_OAVE,0.0032310179
teleopBouldersLow_CCWM,0.0032310179
position2_A_ChevalDeFrise_CCWM,0.0032310179
towerFaceA_Challenged_CPR,0.0032310179
teleopScalePoints_DAVE,0.0032310179
towerFaceA_Scaled_OAVE,0.0032310179
towerEndStrength_DPR,0.0032310179
autoCrossingPoints_DAVE,0.0016155089
position5_A_Portcullis_CCWM,0.0016155089
position5_D_RockWall_DPR,0.0016155089
towerFaceA_Challenged_OAVE,0.0016155089
position4_D_RoughTerrain_CPR,0.0016155089
towerFaceA_None_OPR,0.0016155089
position4_B_Moat_OPR,0.0016155089
autoCrossingPoints_OAVE,0.0016155089
towerFaceA_None_DAVE,0.0016155089
position4_D_RoughTerrain_OPR,0.0016155089
towerFaceC_None_CPR,0.0016155089
towerFaceB_Challenged_CPR,0.0016155089
position3_C_SallyPort_OPR,0.0016155089
towerFaceB_Scaled_CPR,0.0016155089
towerFaceA_Challenged_DPR,0.0016155089
towerFaceB_Scaled_DAVE,0.0016155089
position4_B_Ramparts_CPR,0.0016155089
position2_C_Drawbridge_DPR,0.0016155089
position4_B_Ramparts_DAVE,0.0016155089
position5_D_RoughTerrain_DPR,0.0016155089
position4_B_Moat_DPR,0.0016155089
position5_D_RoughTerrain_CPR,0.0016155089
position4_C_SallyPort_DPR,0.0016155089
position5_D_RockWall_OAVE,0.0016155089
position5_B_Moat_CPR,0.0016155089
position4_A_ChevalDeFrise_CPR,0.0016155089
position2_D_RoughTerrain_DPR,0.0016155089
position2_D_RockWall_DPR,0.0016155089
autoBouldersHigh_OPR,0.0016155089
autoBouldersLow_OPR,0.0016155089
towerFaceB_Challenged_CCWM,0.0016155089
position4_C_Drawbridge_DPR,0.0016155089
position4_B_Ramparts_DPR,0.0016155089
position5_D_RockWall_CCWM,0.0016155089
towerFaceC_Challenged_DAVE,0.0016155089
position4_D_RockWall_OPR,0.0016155089
autoPoints_OPR,0.0016155089
position4_C_SallyPort_OPR,0.0016155089
position5_D_RockWall_DAVE,0.0016155089
towerFaceA_Scaled_DPR,0.0016155089
position2_D_RoughTerrain_CCWM,0.0016155089
position2_A_ChevalDeFrise_DPR,0.0016155089
position4_B_Ramparts_CCWM,0.0016155089
position2_B_Ramparts_OPR,0.0016155089
position3crossings_CCWM,0.0016155089
teleopBouldersLow_OPR,0.0016155089
position1crossings_DAVE,0.0016155089
teleopTowerCaptured_CPR,0.0016155089
position2_A_ChevalDeFrise_OPR,0.0016155089
teleopScalePoints_CPR,0.0016155089
teleopScalePoints_OAVE,0.0016155089
teleopPoints_DAVE,0.0016155089
teleopPoints_CPR,0.0016155089
teleopDefensesBreached_DAVE,0.0016155089
teleopCrossingPoints_DPR,0.0016155089
teleopDefensesBreached_OAVE,0.0016155089
position3crossings_CPR,0.0016155089
teleopCrossingPoints_CPR,0.0016155089
towerEndStrength_OPR,0.0016155089
teleopChallengePoints_DAVE,0.0016155089
teleopPoints_OPR,0.0016155089
teleopPoints_DPR,0.0016155089
towerEndStrength_CCWM,0.0016155089
position5crossings_CPR,0.0016155089
teleopBouldersHigh_DAVE,0.0016155089
teleopBouldersHigh_CPR,0.0016155089
position5crossings_DAVE,0.0016155089
teleopBoulderPoints_DAVE,0.0016155089
teleopBouldersHigh_OPR,0.0016155089
position5crossings_CCWM,0.0016155089
techFoulCount_DPR,0.0016155089
CCWM,0.0016155089
position1crossings_DPR,0.0016155089
position2_D_RoughTerrain_OPR,0.0016155089
towerFaceC_Scaled_OPR,0.0016155089
position3_D_RoughTerrain_OAVE,0.0016155089
position3_B_Moat_CPR,0.0016155089
position2_A_Portcullis_OPR,0.0016155089
techFoulCount_OPR,0.0016155089
position4_A_Portcullis_CCWM,0.0016155089
position3_C_Drawbridge_OAVE,0.0016155089
towerFaceC_Challenged_DPR,0.0016155089
position4crossings_OPR,0.0016155089
position4crossings_DPR,0.0016155089
position2_C_SallyPort_DAVE,0.0016155089
position2_D_RoughTerrain_DAVE,0.0016155089
position5crossings_DPR,0.0016155089
foulCount_OPR,0.0016155089
position2_B_Moat_DAVE,0.0016155089
position2_B_Ramparts_DAVE,0.0016155089
towerFaceB_Challenged_OPR,0.0016155089
autoPoints_CCWM,0.0016155089
position1crossings_OPR,0.0016155089
position3_B_Moat_OPR,0.0
position3_D_RoughTerrain_OPR,0.0
position3_D_RockWall_OPR,0.0
towerFaceC_Scaled_CCWM,0.0
position3_A_Portcullis_OPR,0.0
towerFaceA_Challenged_CCWM,0.0
position3_C_Drawbridge_OPR,0.0
position3_B_Ramparts_OPR,0.0
position3_A_ChevalDeFrise_OPR,0.0
towerFaceB_None_CCWM,0.0
position2_C_SallyPort_DPR,0.0
towerFaceA_Both_CCWM,0.0
position2_D_RockWall_OPR,0.0
towerFaceC_Challenged_CCWM,0.0
towerFaceB_Both_CCWM,0.0
position5_A_Portcullis_OPR,0.0
position3_A_ChevalDeFrise_DPR,0.0
position4_D_RockWall_CCWM,0.0
towerFaceB_Both_DPR,0.0
position4_C_SallyPort_CCWM,0.0
towerFaceC_Challenged_OPR,0.0
position4_D_RoughTerrain_CCWM,0.0
towerFaceC_Both_OPR,0.0
position4_B_Moat_CCWM,0.0
towerFaceC_Scaled_DPR,0.0
towerFaceC_Both_DPR,0.0
autoBoulderPoints_CCWM,0.0
autoBouldersHigh_CCWM,0.0
autoBouldersLow_CCWM,0.0
autoCrossingPoints_CCWM,0.0
autoReachPoints_CCWM,0.0
breachPoints_CCWM,0.0
position4_C_Drawbridge_CCWM,0.0
capturePoints_CCWM,0.0
position1crossings_CCWM,0.0
position2crossings_CCWM,0.0
position3_D_RockWall_CCWM,0.0
position3_C_SallyPort_CCWM,0.0
position3_D_RoughTerrain_CCWM,0.0
teleopChallengePoints_CCWM,0.0
position3_A_Portcullis_CCWM,0.0
position3_B_Moat_CCWM,0.0
teleopPoints_CCWM,0.0
position3_C_Drawbridge_CCWM,0.0
position3_A_ChevalDeFrise_CCWM,0.0
position2_D_RockWall_CCWM,0.0
position2_C_SallyPort_CCWM,0.0
towerFaceB_Scaled_DPR,0.0
position5_A_ChevalDeFrise_CCWM,0.0
position3_B_Ramparts_DPR,0.0
towerFaceB_Both_OPR,0.0
position3_C_Drawbridge_DPR,0.0
position3_B_Moat_DPR,0.0
position3_A_Portcullis_DPR,0.0
position3_D_RoughTerrain_DPR,0.0
position3_C_SallyPort_DPR,0.0
position3_D_RockWall_DPR,0.0
position4_A_ChevalDeFrise_OPR,0.0
position4_B_Ramparts_OPR,0.0
position4_C_Drawbridge_OPR,0.0
position4_A_Portcullis_OPR,0.0
towerFaceA_None_CCWM,0.0
position4_A_Portcullis_DPR,0.0
position4_D_RoughTerrain_DPR,0.0
position5_A_ChevalDeFrise_OPR,0.0
position5_B_Ramparts_OPR,0.0
position5_C_Drawbridge_OPR,0.0
position5_B_Moat_OPR,0.0
position2_C_Drawbridge_CCWM,0.0
position5_D_RoughTerrain_OPR,0.0
position5_D_RockWall_OPR,0.0
position5_A_ChevalDeFrise_DPR,0.0
position5_C_Drawbridge_DPR,0.0
position5_B_Moat_DPR,0.0
position5_A_Portcullis_DPR,0.0
position5_C_SallyPort_DPR,0.0
towerFaceA_Both_OPR,0.0
towerFaceA_Both_DPR,0.0
towerFaceB_None_OPR,0.0
position5_B_Ramparts_CCWM,0.0
Auto_None_a,0.0
towerFaceC_Scaled_CPR,0.0
teleopScalePoints_OPR,0.0
techFoulCount_CPR,0.0
position2_C_Drawbridge_CPR,0.0
position2_C_Drawbridge_OAVE,0.0
position2_B_Ramparts_CPR,0.0
position2_B_Ramparts_OAVE,0.0
position2_A_ChevalDeFrise_CPR,0.0
position2_A_ChevalDeFrise_OAVE,0.0
towerEndStrength_DAVE,0.0
teleopTowerCaptured_DAVE,0.0
teleopTowerCaptured_OAVE,0.0
teleopPoints_OAVE,0.0
teleopCrossingPoints_DAVE,0.0
teleopCrossingPoints_OAVE,0.0
teleopChallengePoints_CPR,0.0
teleopChallengePoints_OAVE,0.0
teleopBouldersLow_CPR,0.0
teleopBoulderPoints_CPR,0.0
teleopBoulderPoints_OAVE,0.0
position2_B_Moat_OAVE,0.0
position2_B_Moat_CPR,0.0
position2_A_Portcullis_OAVE,0.0
position3_A_ChevalDeFrise_OAVE,0.0
position3_D_RockWall_CPR,0.0
position3_D_RockWall_OAVE,0.0
position3_C_SallyPort_OAVE,0.0
position3_B_Moat_OAVE,0.0
position3_C_Drawbridge_CPR,0.0
position3_B_Ramparts_OAVE,0.0
position3_A_ChevalDeFrise_CPR,0.0
position2_D_RockWall_DAVE,0.0
position2_A_Portcullis_CPR,0.0
position2_A_Portcullis_DAVE,0.0
position2_A_ChevalDeFrise_DAVE,0.0
position2_D_RockWall_CPR,0.0
position2_D_RockWall_OAVE,0.0
position2_C_SallyPort_CPR,0.0
position2_C_SallyPort_OAVE,0.0
position2_D_RoughTerrain_OAVE,0.0
techFoulCount_DAVE,0.0
techFoulCount_OAVE,0.0
teleopDefensesBreached_OPR,0.0
tba_rpEarned_DAVE,0.0
breachPoints_CPR,0.0
breachPoints_OAVE,0.0
autoReachPoints_DAVE,0.0
autoPoints_DAVE,0.0
autoPoints_CPR,0.0
autoPoints_OAVE,0.0
autoCrossingPoints_CPR,0.0
autoBouldersLow_DAVE,0.0
autoBouldersLow_OAVE,0.0
autoBouldersHigh_DAVE,0.0
autoBouldersHigh_CPR,0.0
autoBouldersHigh_OAVE,0.0
autoBoulderPoints_DAVE,0.0
autoBoulderPoints_OAVE,0.0
OAVE,0.0
Defense_a,0.0
Ranking_Score_a,0.0
breachPoints_DAVE,0.0
capturePoints_OAVE,0.0
capturePoints_CPR,0.0
position2crossings_CPR,0.0
tba_rpEarned_OAVE,0.0
position5crossings_OAVE,0.0
position4crossings_CPR,0.0
position4crossings_OAVE,0.0
position3crossings_DAVE,0.0
position3crossings_OAVE,0.0
position2crossings_DAVE,0.0
position2crossings_OAVE,0.0
capturePoints_DAVE,0.0
position1crossings_OAVE,0.0
foulPoints_DAVE,0.0
foulPoints_CPR,0.0
foulPoints_OAVE,0.0
foulCount_DAVE,0.0
foulCount_CPR,0.0
foulCount_OAVE,0.0
position3_A_ChevalDeFrise_DAVE,0.0
position3_B_Ramparts_DAVE,0.0
position3_C_Drawbridge_DAVE,0.0
position3_B_Moat_DAVE,0.0
towerFaceC_Challenged_CPR,0.0
towerFaceC_Challenged_OAVE,0.0
towerFaceC_None_OAVE,0.0
towerFaceB_Both_DAVE,0.0
towerFaceB_None_DAVE,0.0
towerFaceB_Both_CPR,0.0
towerFaceB_Both_OAVE,0.0
towerFaceB_Scaled_OAVE,0.0
towerFaceB_Challenged_OAVE,0.0
towerFaceB_None_CPR,0.0
towerFaceB_None_OAVE,0.0
towerFaceA_Both_DAVE,0.0
towerFaceA_Scaled_DAVE,0.0
towerFaceA_Challenged_DAVE,0.0
towerFaceA_Both_CPR,0.0
towerFaceA_Both_OAVE,0.0
towerFaceA_Scaled_CPR,0.0
towerFaceC_Scaled_OAVE,0.0
towerFaceC_Both_OAVE,0.0
towerFaceC_Both_CPR,0.0
capturePoints_DPR,0.0
teleopCrossingPoints_OPR,0.0
teleopChallengePoints_DPR,0.0
teleopBouldersHigh_DPR,0.0
position5crossings_OPR,0.0
position3crossings_DPR,0.0
position3crossings_OPR,0.0
foulPoints_DPR,0.0
capturePoints_OPR,0.0
towerFaceC_Scaled_DAVE,0.0
breachPoints_DPR,0.0
breachPoints_OPR,0.0
autoReachPoints_DPR,0.0
autoCrossingPoints_DPR,0.0
autoBouldersHigh_DPR,0.0
autoBoulderPoints_DPR,0.0
towerFaceC_Both_DAVE,0.0
towerFaceA_None_CPR,0.0
towerFaceA_None_OAVE,0.0
position5_C_SallyPort_DAVE,0.0
position4_B_Moat_CPR,0.0
position4_A_ChevalDeFrise_DAVE,0.0
position4_D_RockWall_CPR,0.0
