,0
CCWM,0.12878788
OPR,0.10151515
position1crossings_CCWM,0.018181818
teleopTowerCaptured_CCWM,0.018181818
towerFaceA_Scaled_CCWM,0.016666668
CPR,0.015151516
teleopDefensesBreached_CCWM,0.015151516
towerEndStrength_DPR,0.013636364
techFoulCount_CCWM,0.012121212
towerFaceC_Challenged_CCWM,0.010606061
autoBoulderPoints_OPR,0.009090909
OAVE,0.009090909
teleopTowerCaptured_DPR,0.009090909
teleopChallengePoints_CCWM,0.007575758
towerFaceB_Scaled_OPR,0.007575758
teleopPoints_CCWM,0.007575758
teleopBoulderPoints_OPR,0.007575758
towerFaceC_Challenged_OPR,0.007575758
teleopBouldersLow_DAVE,0.007575758
position5_C_SallyPort_OPR,0.007575758
teleopCrossingPoints_DPR,0.007575758
position5_C_SallyPort_OAVE,0.007575758
teleopTowerCaptured_DAVE,0.007575758
DPR,0.007575758
position5_D_RockWall_OPR,0.006060606
position4crossings_CCWM,0.006060606
position4_D_RoughTerrain_DPR,0.006060606
towerFaceB_Scaled_CCWM,0.006060606
position5_D_RockWall_CPR,0.006060606
teleopTowerCaptured_CPR,0.006060606
position4_B_Moat_OPR,0.006060606
towerFaceC_None_DPR,0.006060606
teleopScalePoints_CCWM,0.006060606
towerFaceB_Scaled_CPR,0.006060606
towerFaceA_Scaled_OPR,0.006060606
autoReachPoints_CPR,0.006060606
position4_D_RoughTerrain_OPR,0.006060606
teleopDefensesBreached_OPR,0.006060606
teleopPoints_OAVE,0.006060606
teleopTowerCaptured_OPR,0.0045454544
foulCount_CCWM,0.0045454544
autoReachPoints_CCWM,0.0045454544
autoPoints_CCWM,0.0045454544
position2_C_SallyPort_DAVE,0.0045454544
teleopCrossingPoints_DAVE,0.0045454544
towerEndStrength_OAVE,0.0045454544
teleopBouldersHigh_CPR,0.0045454544
position2_C_Drawbridge_DPR,0.0045454544
position2_A_ChevalDeFrise_OPR,0.0045454544
teleopChallengePoints_DAVE,0.0045454544
position4_C_Drawbridge_DPR,0.0045454544
teleopScalePoints_CPR,0.0045454544
position3crossings_CCWM,0.0045454544
autoPoints_DPR,0.0045454544
